,Interior Equipment,dishwasher,3.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,refrigerator,5.44,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,clotheswasher,0.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_dryer,6.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_range,5.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,television,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,electric_mels,26.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,IECC_adj,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,General,7.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation,0.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Ventilation (simple),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Domestic Hot Water,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.20
,,Water Heater,0.51,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,Water Heater Parasitic,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,General,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Source Energy End Use Components Summary
FOR:,Entire Facility
Values gathered over        24.00 hours
WARNING: THE REPORT DOES NOT REPRESENT A FULL ANNUAL SIMULATION.

Source Energy End Use Components Summary

,,Source Electricity [kBtu],Source Natural Gas [kBtu],Source Gasoline [kBtu],Source Diesel [kBtu],Source Coal [kBtu],Source Fuel Oil No 1 [kBtu],Source Fuel Oil No 2 [kBtu],Source Propane [kBtu],Source Other Fuel 1 [kBtu],Source Other Fuel 2 [kBtu],Source District Cooling [kBtu],Source District Heating [kBtu]
,Heating,3223.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,335.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,163.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,2666.96,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,497.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,617.63,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,7504.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Normalized Metrics
Source Energy End Use Components Per Conditioned Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


Source Energy End Use Components Per Total Floor Area

,,Source Electricity [kBtu/ft2],Source Natural Gas [kBtu/ft2],Source Gasoline [kBtu/ft2],Source Diesel [kBtu/ft2],Source Coal [kBtu/ft2],Source Fuel Oil No 1 [kBtu/ft2],Source Fuel Oil No 2 [kBtu/ft2],Source Propane [kBtu/ft2],Source Other Fuel 1 [kBtu/ft2],Source Other Fuel 2 [kBtu/ft2],Source District Cooling [kBtu/ft2],Source District Heating [kBtu/ft2]
,Heating,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Cooling,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Lighting,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Interior Equipment,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Exterior Equipment,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Fans,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Pumps,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Rejection,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Humidification,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Heat Recovery,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Water Systems,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Refrigeration,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,Generators,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
,,,,,,,,,,,,,
,Total Source Energy End Use Components,0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00


----------------------------------------------------------------------------------------------------
REPORT:,Component Sizing Summary
FOR:,Entire Facility
ZoneHVAC:EnergyRecoveryVentilator

,,User-Specified Supply Air Flow Rate [ft3/min],User-Specified Exhaust Air Flow Rate [ft3/min]
,ERV_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_BOTTOMFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_MIDDLEFLOOR,44.99,44.99
,ERV_UNIT3_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT3_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_BACKROW_TOPFLOOR,44.99,44.99
,ERV_UNIT2_FRONTROW_TOPFLOOR,44.99,44.99
,ERV_UNIT1_BACKROW_TOPFLOOR,44.99,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Fan:OnOff

,,User-Specified Maximum Flow Rate [ft3/min],Design Size Maximum Flow Rate [ft3/min]
,OASUPPLYFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_BOTTOMFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_MIDDLEFLOOR,44.99,
,OASUPPLYFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT3_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_BACKROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT2_FRONTROW_TOPFLOOR,44.99,
,OASUPPLYFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,OAEXHAUSTFAN_UNIT1_BACKROW_TOPFLOOR,44.99,
,SUPPLY FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,404.17
,SUPPLY FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,157.50
,SUPPLY FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,293.93
,SUPPLY FAN_UNIT1_BACKROW_BOTTOMFLOOR,,392.31
,SUPPLY FAN_UNIT2_BACKROW_BOTTOMFLOOR,,159.28
,SUPPLY FAN_UNIT3_BACKROW_BOTTOMFLOOR,,284.89
,SUPPLY FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,486.81
,SUPPLY FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,212.27
,SUPPLY FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,363.80
,SUPPLY FAN_UNIT1_BACKROW_MIDDLEFLOOR,,472.34
,SUPPLY FAN_UNIT2_BACKROW_MIDDLEFLOOR,,209.67
,SUPPLY FAN_UNIT3_BACKROW_MIDDLEFLOOR,,349.03
,SUPPLY FAN_UNIT1_FRONTROW_TOPFLOOR,,513.33
,SUPPLY FAN_UNIT2_FRONTROW_TOPFLOOR,,243.55
,SUPPLY FAN_UNIT3_FRONTROW_TOPFLOOR,,368.53
,SUPPLY FAN_UNIT1_BACKROW_TOPFLOOR,,511.42
,SUPPLY FAN_UNIT2_BACKROW_TOPFLOOR,,250.47
,SUPPLY FAN_UNIT3_BACKROW_TOPFLOOR,,354.37
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_BOTTOMFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_MIDDLEFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_FRONTROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT1_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT2_BACKROW_TOPFLOOR,,160.01
,HEAT PUMP WATER HEATER FAN_UNIT3_BACKROW_TOPFLOOR,,160.01
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


HeatExchanger:AirToAir:SensibleAndLatent

,,User-Specified Nominal Supply Air Flow Rate [ft3/min]
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_BOTTOMFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_MIDDLEFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT3_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_BACKROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT2_FRONTROW_TOPFLOOR,44.99
,OA_HEAT_RECOVERY_UNIT1_BACKROW_TOPFLOOR,44.99
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirTerminal:SingleDuct:ConstantVolume:NoReheat

,,Design Size Maximum Air Flow Rate [ft3/min]
,ZONEDIRECTAIR_UNIT1_FRONTROW_BOTTOMFLOOR,404.17
,ZONEDIRECTAIR_UNIT2_FRONTROW_BOTTOMFLOOR,157.50
,ZONEDIRECTAIR_UNIT3_FRONTROW_BOTTOMFLOOR,293.93
,ZONEDIRECTAIR_UNIT1_BACKROW_BOTTOMFLOOR,392.31
,ZONEDIRECTAIR_UNIT2_BACKROW_BOTTOMFLOOR,159.28
,ZONEDIRECTAIR_UNIT3_BACKROW_BOTTOMFLOOR,284.89
,ZONEDIRECTAIR_UNIT1_FRONTROW_MIDDLEFLOOR,486.81
,ZONEDIRECTAIR_UNIT2_FRONTROW_MIDDLEFLOOR,212.27
,ZONEDIRECTAIR_UNIT3_FRONTROW_MIDDLEFLOOR,363.80
,ZONEDIRECTAIR_UNIT1_BACKROW_MIDDLEFLOOR,472.34
,ZONEDIRECTAIR_UNIT2_BACKROW_MIDDLEFLOOR,209.67
,ZONEDIRECTAIR_UNIT3_BACKROW_MIDDLEFLOOR,349.03
,ZONEDIRECTAIR_UNIT3_BACKROW_TOPFLOOR,354.37
,ZONEDIRECTAIR_UNIT3_FRONTROW_TOPFLOOR,368.53
,ZONEDIRECTAIR_UNIT1_FRONTROW_TOPFLOOR,513.33
,ZONEDIRECTAIR_UNIT2_BACKROW_TOPFLOOR,250.47
,ZONEDIRECTAIR_UNIT2_FRONTROW_TOPFLOOR,243.55
,ZONEDIRECTAIR_UNIT1_BACKROW_TOPFLOOR,511.42
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC

,,Sum of Air Terminal Maximum Heating Flow Rates [ft3/min],Sum of Air Terminal Minimum Heating Flow Rates [ft3/min],Sum of Air Terminal Maximum Flow Rates [ft3/min],Adjusted Heating Design Air Flow Rate [ft3/min],Adjusted Cooling Design Air Flow Rate [ft3/min],Adjusted Main Design Air Flow Rate [ft3/min],User Heating Air Flow Ratio [],Calculated Heating Air Flow Ratio [],Design Supply Air Flow Rate [ft3/min]
,CENTRAL SYSTEM_UNIT1_FRONTROW_BOTTOMFLOOR,404.17,404.17,404.17,404.17,404.17,404.17,1.00,1.00,404.17
,CENTRAL SYSTEM_UNIT2_FRONTROW_BOTTOMFLOOR,157.50,157.50,157.50,157.50,157.50,157.50,1.00,1.00,157.50
,CENTRAL SYSTEM_UNIT3_FRONTROW_BOTTOMFLOOR,293.93,293.93,293.93,293.93,293.93,293.93,1.00,1.00,293.93
,CENTRAL SYSTEM_UNIT1_BACKROW_BOTTOMFLOOR,392.31,392.31,392.31,392.31,392.31,392.31,1.00,1.00,392.31
,CENTRAL SYSTEM_UNIT2_BACKROW_BOTTOMFLOOR,159.28,159.28,159.28,159.28,159.28,159.28,1.00,1.00,159.28
,CENTRAL SYSTEM_UNIT3_BACKROW_BOTTOMFLOOR,284.89,284.89,284.89,284.89,284.89,284.89,1.00,1.00,284.89
,CENTRAL SYSTEM_UNIT1_FRONTROW_MIDDLEFLOOR,486.81,486.81,486.81,486.81,486.81,486.81,1.00,1.00,486.81
,CENTRAL SYSTEM_UNIT2_FRONTROW_MIDDLEFLOOR,212.27,212.27,212.27,212.27,212.27,212.27,1.00,1.00,212.27
,CENTRAL SYSTEM_UNIT3_FRONTROW_MIDDLEFLOOR,363.80,363.80,363.80,363.80,363.80,363.80,1.00,1.00,363.80
,CENTRAL SYSTEM_UNIT1_BACKROW_MIDDLEFLOOR,472.34,472.34,472.34,472.34,472.34,472.34,1.00,1.00,472.34
,CENTRAL SYSTEM_UNIT2_BACKROW_MIDDLEFLOOR,209.67,209.67,209.67,209.67,209.67,209.67,1.00,1.00,209.67
,CENTRAL SYSTEM_UNIT3_BACKROW_MIDDLEFLOOR,349.03,349.03,349.03,349.03,349.03,349.03,1.00,1.00,349.03
,CENTRAL SYSTEM_UNIT1_FRONTROW_TOPFLOOR,513.33,513.33,513.33,513.33,513.33,513.33,1.00,1.00,513.33
,CENTRAL SYSTEM_UNIT2_FRONTROW_TOPFLOOR,243.55,243.55,243.55,243.55,243.55,243.55,1.00,1.00,243.55
,CENTRAL SYSTEM_UNIT3_FRONTROW_TOPFLOOR,368.53,368.53,368.53,368.53,368.53,368.53,1.00,1.00,368.53
,CENTRAL SYSTEM_UNIT1_BACKROW_TOPFLOOR,511.42,511.42,511.42,511.42,511.42,511.42,1.00,1.00,511.42
,CENTRAL SYSTEM_UNIT2_BACKROW_TOPFLOOR,250.47,250.47,250.47,250.47,250.47,250.47,1.00,1.00,250.47
,CENTRAL SYSTEM_UNIT3_BACKROW_TOPFLOOR,354.37,354.37,354.37,354.37,354.37,354.37,1.00,1.00,354.37
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


Coil:Cooling:DX:SingleSpeed

,,Design Size Rated Air Flow Rate [ft3/min],Design Size Gross Rated Total Cooling Capacity [ton],Design Size Gross Rated Sensible Heat Ratio
,DX COOLING COIL_UNIT1_FRONTROW_BOTTOMFLOOR,404.17,0.897899,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_BOTTOMFLOOR,157.50,0.349898,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_BOTTOMFLOOR,293.93,0.652980,0.800655
,DX COOLING COIL_UNIT1_BACKROW_BOTTOMFLOOR,392.31,0.871554,0.800655
,DX COOLING COIL_UNIT2_BACKROW_BOTTOMFLOOR,159.28,0.353853,0.800655
,DX COOLING COIL_UNIT3_BACKROW_BOTTOMFLOOR,284.89,0.632911,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_MIDDLEFLOOR,486.81,1.08,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_MIDDLEFLOOR,212.27,0.471584,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_MIDDLEFLOOR,363.80,0.808204,0.800655
,DX COOLING COIL_UNIT1_BACKROW_MIDDLEFLOOR,472.34,1.05,0.800655
,DX COOLING COIL_UNIT2_BACKROW_MIDDLEFLOOR,209.67,0.465791,0.800655
,DX COOLING COIL_UNIT3_BACKROW_MIDDLEFLOOR,349.03,0.775398,0.800655
,DX COOLING COIL_UNIT1_FRONTROW_TOPFLOOR,513.33,1.14,0.800655
,DX COOLING COIL_UNIT2_FRONTROW_TOPFLOOR,243.55,0.541065,0.800655
,DX COOLING COIL_UNIT3_FRONTROW_TOPFLOOR,368.53,0.818728,0.800655
,DX COOLING COIL_UNIT1_BACKROW_TOPFLOOR,511.42,1.14,0.800655
,DX COOLING COIL_UNIT2_BACKROW_TOPFLOOR,250.47,0.556436,0.800655
,DX COOLING COIL_UNIT3_BACKROW_TOPFLOOR,354.37,0.787270,0.800655
User-Specified values were used. Design Size values were used if no User-Specified values were provided.


AirLoopHVAC:UnitaryHeatPump:AirToAir

,,Supply Air Flow Rate [ft3/min],Supply Air Flow Rate During Heating Operation [ft3/min],Supply Air Flow Rate During Cooling Operation [ft3/min],Nominal Heating Capacity [Btu/h],Nominal Cooling Capacity [ton],Supplemental Heating Coil Nominal Capacity [Btu/h],Fraction of Supply Air Flow That Goes Through the Controlling Zone
,HEAT PUMP_UNIT1_FRONTROW_BOTTOMFLOOR,404.17,404.17,404.17,10774.79,0.897899,8752.94,1.00
,HEAT PUMP_UNIT2_FRONTROW_BOTTOMFLOOR,157.50,157.50,157.50,4198.77,0.349898,6806.94,1.00
,HEAT PUMP_UNIT3_FRONTROW_BOTTOMFLOOR,293.93,293.93,293.93,7835.77,0.652980,8755.33,1.00
,HEAT PUMP_UNIT1_BACKROW_BOTTOMFLOOR,392.31,392.31,392.31,10458.65,0.871554,8755.12,1.00
,HEAT PUMP_UNIT2_BACKROW_BOTTOMFLOOR,159.28,159.28,159.28,4246.24,0.353853,6806.69,1.00
,HEAT PUMP_UNIT3_BACKROW_BOTTOMFLOOR,284.89,284.89,284.89,7594.93,0.632911,8752.70,1.00
,HEAT PUMP_UNIT1_FRONTROW_MIDDLEFLOOR,486.81,486.81,486.81,12977.71,1.08,7874.64,1.00
,HEAT PUMP_UNIT2_FRONTROW_MIDDLEFLOOR,212.27,212.27,212.27,5659.01,0.471584,5738.73,1.00
,HEAT PUMP_UNIT3_FRONTROW_MIDDLEFLOOR,363.80,363.80,363.80,9698.45,0.808204,7877.09,1.00
,HEAT PUMP_UNIT1_BACKROW_MIDDLEFLOOR,472.34,472.34,472.34,12592.13,1.05,7876.49,1.00
,HEAT PUMP_UNIT2_BACKROW_MIDDLEFLOOR,209.67,209.67,209.67,5589.49,0.465791,5738.13,1.00
,HEAT PUMP_UNIT3_BACKROW_MIDDLEFLOOR,349.03,349.03,349.03,9304.78,0.775398,7874.05,1.00
,HEAT PUMP_UNIT1_FRONTROW_TOPFLOOR,513.33,513.33,513.33,13684.80,1.14,10155.10,1.00
